state,sector,date,value
Malaysia,domestic,2003,4394
Malaysia,domestic,2004,4770
Malaysia,domestic,2005,4992
Malaysia,domestic,2006,5025
Malaysia,domestic,2007,5381
Malaysia,domestic,2008,5466
Malaysia,domestic,2009,5531
Malaysia,domestic,2010,5602
Malaysia,domestic,2011,5695
Malaysia,domestic,2012,5873
Malaysia,domestic,2013,6064
Malaysia,domestic,2014,6267
Malaysia,domestic,2015,6378
Malaysia,domestic,2016,6490
Malaysia,domestic,2017,6447
Malaysia,domestic,2018,6605
Malaysia,domestic,2019,6811
Malaysia,domestic,2020,7179
Malaysia,domestic,2021,7540
Malaysia,domestic,2022,7353
Malaysia,nondomestic,2003,2281
Malaysia,nondomestic,2004,2339
Malaysia,nondomestic,2005,2366
Malaysia,nondomestic,2006,2606
Malaysia,nondomestic,2007,2696
Malaysia,nondomestic,2008,2868
Malaysia,nondomestic,2009,3020
Malaysia,nondomestic,2010,3370
Malaysia,nondomestic,2011,3469
Malaysia,nondomestic,2012,3659
Malaysia,nondomestic,2013,3790
Malaysia,nondomestic,2014,3909
Malaysia,nondomestic,2015,4067
Malaysia,nondomestic,2016,4249
Malaysia,nondomestic,2017,4341
Malaysia,nondomestic,2018,4476
Malaysia,nondomestic,2019,4688
Malaysia,nondomestic,2020,4298
Malaysia,nondomestic,2021,4173
Malaysia,nondomestic,2022,4433
Johor,domestic,2003,560
Johor,domestic,2004,610
Johor,domestic,2005,621
Johor,domestic,2006,644
Johor,domestic,2007,664
Johor,domestic,2008,682
Johor,domestic,2009,713
Johor,domestic,2010,730
Johor,domestic,2011,738
Johor,domestic,2012,769
Johor,domestic,2013,797
Johor,domestic,2014,823
Johor,domestic,2015,811
Johor,domestic,2016,773
Johor,domestic,2017,785
Johor,domestic,2018,809
Johor,domestic,2019,835
Johor,domestic,2020,867
Johor,domestic,2021,879
Johor,domestic,2022,867
Johor,nondomestic,2003,246
Johor,nondomestic,2004,225
Johor,nondomestic,2005,235
Johor,nondomestic,2006,255
Johor,nondomestic,2007,289
Johor,nondomestic,2008,300
Johor,nondomestic,2009,285
Johor,nondomestic,2010,306
Johor,nondomestic,2011,323
Johor,nondomestic,2012,341
Johor,nondomestic,2013,366
Johor,nondomestic,2014,391
Johor,nondomestic,2015,448
Johor,nondomestic,2016,513
Johor,nondomestic,2017,535
Johor,nondomestic,2018,576
Johor,nondomestic,2019,599
Johor,nondomestic,2020,526
Johor,nondomestic,2021,505
Johor,nondomestic,2022,536
Kedah,domestic,2003,388
Kedah,domestic,2004,412
Kedah,domestic,2005,420
Kedah,domestic,2006,434
Kedah,domestic,2007,471
Kedah,domestic,2008,470
Kedah,domestic,2009,474
Kedah,domestic,2010,444
Kedah,domestic,2011,459
Kedah,domestic,2012,474
Kedah,domestic,2013,487
Kedah,domestic,2014,510
Kedah,domestic,2015,511
Kedah,domestic,2016,525
Kedah,domestic,2017,523
Kedah,domestic,2018,544
Kedah,domestic,2019,551
Kedah,domestic,2020,574
Kedah,domestic,2021,590
Kedah,domestic,2022,560
Kedah,nondomestic,2003,114
Kedah,nondomestic,2004,134
Kedah,nondomestic,2005,137
Kedah,nondomestic,2006,132
Kedah,nondomestic,2007,164
Kedah,nondomestic,2008,167
Kedah,nondomestic,2009,171
Kedah,nondomestic,2010,213
Kedah,nondomestic,2011,181
Kedah,nondomestic,2012,165
Kedah,nondomestic,2013,164
Kedah,nondomestic,2014,187
Kedah,nondomestic,2015,191
Kedah,nondomestic,2016,200
Kedah,nondomestic,2017,195
Kedah,nondomestic,2018,201
Kedah,nondomestic,2019,208
Kedah,nondomestic,2020,193
Kedah,nondomestic,2021,179
Kedah,nondomestic,2022,217
Kelantan,domestic,2003,94
Kelantan,domestic,2004,102
Kelantan,domestic,2005,111
Kelantan,domestic,2006,116
Kelantan,domestic,2007,120
Kelantan,domestic,2008,122
Kelantan,domestic,2009,124
Kelantan,domestic,2010,124
Kelantan,domestic,2011,123
Kelantan,domestic,2012,130
Kelantan,domestic,2013,140
Kelantan,domestic,2014,154
Kelantan,domestic,2015,159
Kelantan,domestic,2016,163
Kelantan,domestic,2017,162
Kelantan,domestic,2018,164
Kelantan,domestic,2019,163
Kelantan,domestic,2020,170
Kelantan,domestic,2021,171
Kelantan,domestic,2022,162
Kelantan,nondomestic,2003,35
Kelantan,nondomestic,2004,40
Kelantan,nondomestic,2005,46
Kelantan,nondomestic,2006,48
Kelantan,nondomestic,2007,49
Kelantan,nondomestic,2008,51
Kelantan,nondomestic,2009,53
Kelantan,nondomestic,2010,55
Kelantan,nondomestic,2011,56
Kelantan,nondomestic,2012,58
Kelantan,nondomestic,2013,62
Kelantan,nondomestic,2014,71
Kelantan,nondomestic,2015,73
Kelantan,nondomestic,2016,76
Kelantan,nondomestic,2017,79
Kelantan,nondomestic,2018,85
Kelantan,nondomestic,2019,85
Kelantan,nondomestic,2020,75
Kelantan,nondomestic,2021,68
Kelantan,nondomestic,2022,77
Melaka,domestic,2003,153
Melaka,domestic,2004,144
Melaka,domestic,2005,150
Melaka,domestic,2006,155
Melaka,domestic,2007,196
Melaka,domestic,2008,202
Melaka,domestic,2009,173
Melaka,domestic,2010,177
Melaka,domestic,2011,180
Melaka,domestic,2012,187
Melaka,domestic,2013,193
Melaka,domestic,2014,196
Melaka,domestic,2015,202
Melaka,domestic,2016,206
Melaka,domestic,2017,206
Melaka,domestic,2018,209
Melaka,domestic,2019,210
Melaka,domestic,2020,215
Melaka,domestic,2021,230
Melaka,domestic,2022,228
Melaka,nondomestic,2003,143
Melaka,nondomestic,2004,122
Melaka,nondomestic,2005,135
Melaka,nondomestic,2006,132
Melaka,nondomestic,2007,93
Melaka,nondomestic,2008,98
Melaka,nondomestic,2009,138
Melaka,nondomestic,2010,150
Melaka,nondomestic,2011,161
Melaka,nondomestic,2012,175
Melaka,nondomestic,2013,182
Melaka,nondomestic,2014,180
Melaka,nondomestic,2015,186
Melaka,nondomestic,2016,199
Melaka,nondomestic,2017,207
Melaka,nondomestic,2018,207
Melaka,nondomestic,2019,214
Melaka,nondomestic,2020,189
Melaka,nondomestic,2021,184
Melaka,nondomestic,2022,190
Negeri Sembilan,domestic,2003,184
Negeri Sembilan,domestic,2004,183
Negeri Sembilan,domestic,2005,181
Negeri Sembilan,domestic,2006,190
Negeri Sembilan,domestic,2007,231
Negeri Sembilan,domestic,2008,237
Negeri Sembilan,domestic,2009,213
Negeri Sembilan,domestic,2010,229
Negeri Sembilan,domestic,2011,239
Negeri Sembilan,domestic,2012,247
Negeri Sembilan,domestic,2013,255
Negeri Sembilan,domestic,2014,259
Negeri Sembilan,domestic,2015,276
Negeri Sembilan,domestic,2016,287
Negeri Sembilan,domestic,2017,288
Negeri Sembilan,domestic,2018,293
Negeri Sembilan,domestic,2019,294
Negeri Sembilan,domestic,2020,318
Negeri Sembilan,domestic,2021,327
Negeri Sembilan,domestic,2022,307
Negeri Sembilan,nondomestic,2003,122
Negeri Sembilan,nondomestic,2004,112
Negeri Sembilan,nondomestic,2005,121
Negeri Sembilan,nondomestic,2006,108
Negeri Sembilan,nondomestic,2007,87
Negeri Sembilan,nondomestic,2008,92
Negeri Sembilan,nondomestic,2009,122
Negeri Sembilan,nondomestic,2010,180
Negeri Sembilan,nondomestic,2011,172
Negeri Sembilan,nondomestic,2012,192
Negeri Sembilan,nondomestic,2013,213
Negeri Sembilan,nondomestic,2014,217
Negeri Sembilan,nondomestic,2015,217
Negeri Sembilan,nondomestic,2016,233
Negeri Sembilan,nondomestic,2017,231
Negeri Sembilan,nondomestic,2018,238
Negeri Sembilan,nondomestic,2019,244
Negeri Sembilan,nondomestic,2020,222
Negeri Sembilan,nondomestic,2021,222
Negeri Sembilan,nondomestic,2022,231
Pahang,domestic,2003,211
Pahang,domestic,2004,214
Pahang,domestic,2005,223
Pahang,domestic,2006,233
Pahang,domestic,2007,308
Pahang,domestic,2008,320
Pahang,domestic,2009,271
Pahang,domestic,2010,264
Pahang,domestic,2011,286
Pahang,domestic,2012,287
Pahang,domestic,2013,299
Pahang,domestic,2014,303
Pahang,domestic,2015,309
Pahang,domestic,2016,342
Pahang,domestic,2017,333
Pahang,domestic,2018,333
Pahang,domestic,2019,339
Pahang,domestic,2020,367
Pahang,domestic,2021,391
Pahang,domestic,2022,385
Pahang,nondomestic,2003,131
Pahang,nondomestic,2004,136
Pahang,nondomestic,2005,134
Pahang,nondomestic,2006,142
Pahang,nondomestic,2007,104
Pahang,nondomestic,2008,111
Pahang,nondomestic,2009,96
Pahang,nondomestic,2010,168
Pahang,nondomestic,2011,186
Pahang,nondomestic,2012,209
Pahang,nondomestic,2013,205
Pahang,nondomestic,2014,216
Pahang,nondomestic,2015,223
Pahang,nondomestic,2016,238
Pahang,nondomestic,2017,250
Pahang,nondomestic,2018,256
Pahang,nondomestic,2019,288
Pahang,nondomestic,2020,264
Pahang,nondomestic,2021,251
Pahang,nondomestic,2022,283
Perak,domestic,2003,450
Perak,domestic,2004,474
Perak,domestic,2005,487
Perak,domestic,2006,486
Perak,domestic,2007,496
Perak,domestic,2008,508
Perak,domestic,2009,526
Perak,domestic,2010,552
Perak,domestic,2011,556
Perak,domestic,2012,592
Perak,domestic,2013,607
Perak,domestic,2014,623
Perak,domestic,2015,628
Perak,domestic,2016,655
Perak,domestic,2017,648
Perak,domestic,2018,665
Perak,domestic,2019,679
Perak,domestic,2020,706
Perak,domestic,2021,703
Perak,domestic,2022,699
Perak,nondomestic,2003,150
Perak,nondomestic,2004,161
Perak,nondomestic,2005,175
Perak,nondomestic,2006,182
Perak,nondomestic,2007,185
Perak,nondomestic,2008,190
Perak,nondomestic,2009,194
Perak,nondomestic,2010,210
Perak,nondomestic,2011,216
Perak,nondomestic,2012,217
Perak,nondomestic,2013,228
Perak,nondomestic,2014,236
Perak,nondomestic,2015,250
Perak,nondomestic,2016,262
Perak,nondomestic,2017,260
Perak,nondomestic,2018,268
Perak,nondomestic,2019,278
Perak,nondomestic,2020,266
Perak,nondomestic,2021,266
Perak,nondomestic,2022,289
Perlis,domestic,2003,47
